212,23,25,21,19,0,0,0,0,
23,25,21,19,0,0,212,0,212,
25,21,19,0,0,212,23,212,23,
21,19,0,0,212,23,237,23,25,
19,0,0,212,23,237,44,25,21,
0,0,212,23,237,44,44,21,19,
0,212,23,237,44,44,21,19,0,
212,23,237,44,44,21,19,0,0,
23,237,44,44,21,19,212,0,212,
237,44,44,21,19,212,23,212,23,
44,44,21,19,212,23,449,23,237,
44,21,19,212,23,449,67,237,44,
21,19,212,23,449,67,281,44,44,
19,212,23,449,67,281,65,44,21,
212,23,449,67,281,65,63,21,19,
23,449,67,281,65,63,233,19,212,
449,67,281,65,63,233,42,212,23,
67,281,65,63,233,42,661,23,449,
393019
1757714216975
